date;Yair Lapid;Joy Division;France;US theater;air travel;isPartial
2022-01-02;0;0;17;0;0;False
2022-01-09;0;0;21;0;1;False
2022-01-16;0;0;16;0;0;False
2022-01-23;0;0;16;0;0;False
2022-01-30;0;0;17;0;0;False
2022-02-06;0;0;24;0;0;False
2022-02-13;0;0;17;0;0;False
2022-02-20;0;0;20;0;0;False
2022-02-27;0;0;16;0;0;False
2022-03-06;0;0;21;0;0;False
2022-03-13;0;0;23;0;0;False
2022-03-20;0;0;20;0;0;False
2022-03-27;0;0;17;0;0;False
2022-04-03;0;0;16;0;0;False
2022-04-10;0;0;17;0;0;False
2022-04-17;0;0;17;0;0;False
2022-04-24;0;0;18;0;0;False
2022-05-01;0;0;16;0;0;False
2022-05-08;0;0;17;0;0;False
2022-05-15;0;0;18;0;0;False
2022-05-22;0;0;19;0;0;False
2022-05-29;0;0;19;0;0;False
2022-06-05;0;0;19;0;0;False
2022-06-12;0;0;19;0;0;False
2022-06-19;0;0;18;0;0;False
2022-06-26;0;0;21;0;0;False
2022-07-03;0;0;22;0;0;False
2022-07-10;0;0;28;0;0;False
2022-07-17;0;0;28;0;0;False
2022-07-24;0;0;28;0;0;False
2022-07-31;0;0;18;0;0;False
2022-08-07;0;0;18;0;0;False
2022-08-14;0;0;15;0;0;False
2022-08-21;0;0;14;0;0;False
2022-08-28;0;0;14;0;0;False
2022-09-04;0;0;13;0;0;False
2022-09-11;0;0;14;0;0;False
2022-09-18;0;0;14;0;0;False
2022-09-25;0;0;13;0;0;False
2022-10-02;0;0;11;0;0;False
2022-10-09;0;0;12;0;0;False
2022-10-16;0;0;13;0;0;False
2022-10-23;0;0;12;0;0;False
2022-10-30;0;0;11;0;0;False
2022-11-06;0;0;13;0;0;False
2022-11-13;0;0;14;0;0;False
2022-11-20;0;0;28;0;0;False
2022-11-27;0;0;20;0;0;False
2022-12-04;0;0;100;0;0;False
2022-12-11;0;0;57;0;0;False
2022-12-18;0;0;59;0;0;False
2022-12-25;0;0;13;0;0;False
2023-01-01;0;0;13;0;0;False
2023-01-08;0;0;14;0;0;False
2023-01-15;0;0;14;0;0;False
2023-01-22;0;0;14;0;0;False
2023-01-29;0;0;14;0;0;False
