date;nature crisis;RT;migrant crossings;iran;air travel;isPartial
2022-01-02;0;2;0;2;1;False
2022-01-09;0;2;0;2;1;False
2022-01-16;0;2;0;2;1;False
2022-01-23;0;2;0;2;1;False
2022-01-30;0;2;0;2;1;False
2022-02-06;0;2;0;2;1;False
2022-02-13;0;2;0;2;1;False
2022-02-20;0;7;0;2;1;False
2022-02-27;0;8;0;3;1;False
2022-03-06;0;3;0;3;1;False
2022-03-13;0;3;0;7;1;False
2022-03-20;0;2;0;4;1;False
2022-03-27;0;2;0;3;1;False
2022-04-03;0;2;0;2;1;False
2022-04-10;0;2;0;2;1;False
2022-04-17;0;2;0;2;1;False
2022-04-24;0;2;0;2;1;False
2022-05-01;0;2;0;2;1;False
2022-05-08;0;2;0;2;1;False
2022-05-15;0;2;0;2;1;False
2022-05-22;0;1;0;2;1;False
2022-05-29;0;1;0;2;1;False
2022-06-05;0;1;0;2;1;False
2022-06-12;0;1;0;2;1;False
2022-06-19;0;1;0;2;1;False
2022-06-26;0;1;0;2;1;False
2022-07-03;0;1;0;2;1;False
2022-07-10;0;1;0;2;1;False
2022-07-17;0;1;0;2;1;False
2022-07-24;0;1;0;2;1;False
2022-07-31;0;1;0;2;1;False
2022-08-07;0;1;0;2;1;False
2022-08-14;0;1;0;2;1;False
2022-08-21;0;1;0;2;1;False
2022-08-28;0;1;0;2;1;False
2022-09-04;0;1;0;2;1;False
2022-09-11;0;1;0;2;1;False
2022-09-18;0;1;0;7;1;False
2022-09-25;0;1;0;7;1;False
2022-10-02;0;1;0;5;1;False
2022-10-09;0;1;0;5;1;False
2022-10-16;0;1;0;7;0;False
2022-10-23;0;1;0;5;0;False
2022-10-30;0;1;0;4;0;False
2022-11-06;0;1;0;5;1;False
2022-11-13;0;1;0;12;0;False
2022-11-20;0;1;0;100;1;False
2022-11-27;0;1;0;23;1;False
2022-12-04;0;1;0;4;0;False
2022-12-11;0;1;0;3;0;False
2022-12-18;0;1;0;3;0;False
2022-12-25;0;1;0;3;1;False
2023-01-01;0;1;0;2;1;False
2023-01-08;0;1;0;3;1;False
2023-01-15;0;1;0;3;1;False
2023-01-22;0;1;0;2;1;False
2023-01-29;0;1;0;3;1;False
