date;Joseph Beuys;News UK;Science and nature books;Statins;air travel;isPartial
2022-01-02;0;77;0;1;1;False
2022-01-09;0;78;0;2;2;False
2022-01-16;0;65;0;1;1;False
2022-01-23;0;65;0;1;1;False
2022-01-30;0;73;0;2;2;False
2022-02-06;0;59;0;1;2;False
2022-02-13;0;68;0;2;2;False
2022-02-20;0;97;0;1;2;False
2022-02-27;0;100;0;1;1;False
2022-03-06;0;73;0;1;1;False
2022-03-13;0;69;0;1;1;False
2022-03-20;0;62;0;1;1;False
2022-03-27;0;56;0;2;2;False
2022-04-03;0;55;0;1;1;False
2022-04-10;0;56;0;1;1;False
2022-04-17;0;51;0;1;1;False
2022-04-24;0;47;0;1;1;False
2022-05-01;0;55;0;2;1;False
2022-05-08;0;48;0;2;1;False
2022-05-15;0;52;0;2;2;False
2022-05-22;0;56;0;2;1;False
2022-05-29;0;55;0;1;1;False
2022-06-05;0;61;0;2;2;False
2022-06-12;0;53;0;2;1;False
2022-06-19;0;56;0;2;1;False
2022-06-26;0;54;0;2;1;False
2022-07-03;0;75;0;2;1;False
2022-07-10;0;68;0;1;2;False
2022-07-17;0;71;0;1;1;False
2022-07-24;0;55;0;2;1;False
2022-07-31;0;58;0;1;1;False
2022-08-07;0;60;0;1;1;False
2022-08-14;0;55;0;1;1;False
2022-08-21;0;54;0;2;1;False
2022-08-28;0;55;0;2;1;False
2022-09-04;0;94;0;1;1;False
2022-09-11;0;63;0;1;1;False
2022-09-18;0;62;0;1;1;False
2022-09-25;0;61;0;1;1;False
2022-10-02;0;61;0;2;1;False
2022-10-09;0;62;0;2;1;False
2022-10-16;0;83;0;2;1;False
2022-10-23;0;74;0;2;1;False
2022-10-30;0;55;0;2;1;False
2022-11-06;0;54;0;2;1;False
2022-11-13;0;58;0;2;1;False
2022-11-20;0;49;0;2;1;False
2022-11-27;0;48;0;2;1;False
2022-12-04;0;52;0;1;1;False
2022-12-11;0;55;0;1;1;False
2022-12-18;0;53;0;2;1;False
2022-12-25;0;56;0;1;1;False
2023-01-01;0;53;0;2;1;False
2023-01-08;0;53;0;5;1;False
2023-01-15;0;53;0;3;1;False
2023-01-22;0;50;0;2;1;False
2023-01-29;0;54;0;2;1;False
