date;european parliament;strikes;davos;Older people;air travel;isPartial
2022-01-02;0;2;0;1;1;False
2022-01-09;0;1;0;1;1;False
2022-01-16;0;1;0;0;1;False
2022-01-23;0;1;0;1;1;False
2022-01-30;0;1;0;1;1;False
2022-02-06;0;1;0;1;1;False
2022-02-13;0;1;0;1;1;False
2022-02-20;0;2;0;1;1;False
2022-02-27;0;9;0;0;1;False
2022-03-06;0;2;0;1;1;False
2022-03-13;0;1;0;1;1;False
2022-03-20;0;1;0;1;1;False
2022-03-27;0;1;0;1;1;False
2022-04-03;0;1;0;0;1;False
2022-04-10;0;1;0;0;1;False
2022-04-17;0;1;0;1;1;False
2022-04-24;0;1;0;1;1;False
2022-05-01;0;1;0;1;1;False
2022-05-08;0;1;0;1;1;False
2022-05-15;0;3;0;1;1;False
2022-05-22;0;3;2;0;1;False
2022-05-29;0;4;0;0;1;False
2022-06-05;0;14;0;0;1;False
2022-06-12;0;20;0;0;1;False
2022-06-19;0;31;0;0;1;False
2022-06-26;0;12;0;0;1;False
2022-07-03;0;6;0;0;1;False
2022-07-10;0;10;0;0;1;False
2022-07-17;0;11;0;0;1;False
2022-07-24;0;25;0;0;1;False
2022-07-31;0;12;0;0;1;False
2022-08-07;0;24;0;0;1;False
2022-08-14;0;34;0;0;1;False
2022-08-21;0;20;0;0;1;False
2022-08-28;0;19;0;0;1;False
2022-09-04;0;20;0;0;1;False
2022-09-11;0;9;0;0;1;False
2022-09-18;0;14;0;0;1;False
2022-09-25;0;28;0;1;1;False
2022-10-02;0;39;0;1;1;False
2022-10-09;0;20;0;1;1;False
2022-10-16;0;23;0;0;1;False
2022-10-23;0;29;0;0;1;False
2022-10-30;0;52;0;0;1;False
2022-11-06;0;36;0;1;1;False
2022-11-13;0;19;0;0;1;False
2022-11-20;0;48;0;0;1;False
2022-11-27;0;53;0;1;1;False
2022-12-04;0;81;0;1;1;False
2022-12-11;0;100;0;0;1;False
2022-12-18;0;61;0;0;1;False
2022-12-25;0;47;0;0;1;False
2023-01-01;0;62;1;1;1;False
2023-01-08;0;32;1;1;1;False
2023-01-15;0;32;4;1;1;False
2023-01-22;0;29;1;1;1;False
2023-01-29;0;49;1;1;1;False
