date;Duchy of Lancaster;Essex holidays;Technology startups;TikTok;air travel;isPartial
2022-01-02;0;1;0;80;3;False
2022-01-09;0;0;0;77;3;False
2022-01-16;0;0;0;70;2;False
2022-01-23;0;1;0;78;3;False
2022-01-30;0;1;0;81;3;False
2022-02-06;0;0;0;79;3;False
2022-02-13;1;0;0;80;3;False
2022-02-20;0;1;0;85;3;False
2022-02-27;0;0;0;76;3;False
2022-03-06;0;0;0;82;3;False
2022-03-13;0;0;0;77;3;False
2022-03-20;0;1;0;84;3;False
2022-03-27;0;1;0;79;3;False
2022-04-03;0;1;0;81;3;False
2022-04-10;0;0;0;89;2;False
2022-04-17;0;1;0;85;3;False
2022-04-24;0;0;0;85;3;False
2022-05-01;0;0;0;87;3;False
2022-05-08;0;0;0;88;3;False
2022-05-15;0;0;0;85;3;False
2022-05-22;0;0;0;78;3;False
2022-05-29;0;0;0;92;3;False
2022-06-05;0;0;0;88;3;False
2022-06-12;0;0;0;89;3;False
2022-06-19;0;0;0;86;3;False
2022-06-26;0;0;0;81;3;False
2022-07-03;1;0;0;90;3;False
2022-07-10;0;1;0;90;3;False
2022-07-17;0;1;0;88;3;False
2022-07-24;0;1;0;100;3;False
2022-07-31;0;1;0;97;3;False
2022-08-07;0;1;0;93;3;False
2022-08-14;0;1;0;89;2;False
2022-08-21;0;1;0;78;2;False
2022-08-28;0;1;0;90;2;False
2022-09-04;2;0;0;77;3;False
2022-09-11;1;0;0;79;2;False
2022-09-18;0;0;0;75;2;False
2022-09-25;0;0;0;89;2;False
2022-10-02;0;0;0;96;2;False
2022-10-09;0;0;0;77;2;False
2022-10-16;0;0;0;80;2;False
2022-10-23;1;0;0;84;2;False
2022-10-30;0;0;0;80;2;False
2022-11-06;0;0;0;80;2;False
2022-11-13;0;0;0;83;2;False
2022-11-20;0;0;0;73;2;False
2022-11-27;0;0;0;83;2;False
2022-12-04;0;0;0;74;2;False
2022-12-11;0;0;0;85;2;False
2022-12-18;0;0;0;85;2;False
2022-12-25;0;1;0;89;2;False
2023-01-01;0;1;0;84;2;False
2023-01-08;0;1;0;82;2;False
2023-01-15;0;0;0;84;2;False
2023-01-22;0;0;0;83;2;False
2023-01-29;0;0;0;82;2;False
