date;Jack Whitehall;duchess of sussex;Europe;The art market;air travel;isPartial
2022-01-02;2;0;39;0;2;False
2022-01-09;2;0;38;0;2;False
2022-01-16;2;0;43;0;2;False
2022-01-23;2;0;45;0;2;False
2022-01-30;2;0;45;0;2;False
2022-02-06;2;0;45;0;2;False
2022-02-13;1;0;50;0;2;False
2022-02-20;1;0;100;0;2;False
2022-02-27;1;0;82;0;2;False
2022-03-06;1;0;59;0;2;False
2022-03-13;2;0;55;0;2;False
2022-03-20;2;0;60;0;2;False
2022-03-27;1;0;50;0;2;False
2022-04-03;1;0;49;0;2;False
2022-04-10;1;0;46;0;2;False
2022-04-17;1;1;51;0;2;False
2022-04-24;1;0;51;0;2;False
2022-05-01;1;0;61;0;2;False
2022-05-08;1;0;56;0;2;False
2022-05-15;1;0;55;0;2;False
2022-05-22;1;1;49;0;2;False
2022-05-29;1;1;47;0;2;False
2022-06-05;1;1;50;0;3;False
2022-06-12;1;0;48;0;2;False
2022-06-19;1;0;46;0;2;False
2022-06-26;1;1;48;0;2;False
2022-07-03;1;0;50;0;2;False
2022-07-10;1;0;54;0;2;False
2022-07-17;1;0;58;0;2;False
2022-07-24;1;0;53;0;2;False
2022-07-31;1;0;50;0;2;False
2022-08-07;1;0;47;0;2;False
2022-08-14;1;0;48;0;2;False
2022-08-21;1;0;50;0;2;False
2022-08-28;1;1;49;0;2;False
2022-09-04;1;4;46;0;2;False
2022-09-11;1;2;46;0;2;False
2022-09-18;1;3;45;0;2;False
2022-09-25;1;1;46;0;2;False
2022-10-02;1;1;46;0;2;False
2022-10-09;1;0;44;0;2;False
2022-10-16;1;0;43;0;1;False
2022-10-23;1;1;45;0;1;False
2022-10-30;2;0;40;0;1;False
2022-11-06;1;0;47;0;2;False
2022-11-13;1;0;44;0;1;False
2022-11-20;1;0;39;0;2;False
2022-11-27;1;1;40;0;2;False
2022-12-04;2;1;37;0;1;False
2022-12-11;2;1;38;0;1;False
2022-12-18;2;1;37;0;1;False
2022-12-25;2;1;40;0;2;False
2023-01-01;1;0;55;0;2;False
2023-01-08;1;1;51;0;2;False
2023-01-15;1;0;55;0;2;False
2023-01-22;1;0;52;0;2;False
2023-01-29;1;0;51;0;2;False
