date;entrepreneurship;food;delivery services;home - vv;air travel;isPartial
2022-01-01;0;90;0;0;0;False
2022-01-02;0;97;0;0;1;False
2022-01-03;0;90;0;0;1;False
2022-01-04;0;84;0;0;1;False
2022-01-05;0;74;0;0;1;False
2022-01-06;0;72;0;0;1;False
2022-01-07;0;82;0;0;1;False
2022-01-08;0;92;0;0;1;False
2022-01-09;0;93;0;0;1;False
2022-01-10;0;82;0;0;1;False
2022-01-11;0;86;0;0;1;False
2022-01-12;0;75;0;0;1;False
2022-01-13;0;88;0;0;1;False
2022-01-14;0;77;0;0;1;False
2022-01-15;0;96;0;0;1;False
2022-01-16;0;94;0;0;1;False
2022-01-17;0;79;0;0;1;False
2022-01-18;0;80;0;0;1;False
2022-01-19;0;74;0;0;1;False
2022-01-20;0;82;0;0;1;False
2022-01-21;0;89;0;0;0;False
2022-01-22;0;89;0;0;1;False
2022-01-23;0;92;0;0;1;False
2022-01-24;0;100;0;0;1;False
2022-01-25;0;83;0;0;1;False
2022-01-26;0;77;0;0;1;False
2022-01-27;0;76;0;0;1;False
2022-01-28;0;82;0;0;1;False
2022-01-29;0;93;0;0;1;False
2022-01-30;0;87;0;0;1;False
2022-01-31;0;85;0;0;1;False
