date;Aeschylus;Manchester;Senegal football team;Concussion in sport;air travel;isPartial
2022-01-01;0;69;0;0;0;False
2022-01-02;0;71;0;0;1;False
2022-01-03;0;88;0;0;0;False
2022-01-04;0;68;0;0;1;False
2022-01-05;0;69;0;0;1;False
2022-01-06;0;66;0;0;1;False
2022-01-07;0;74;0;0;1;False
2022-01-08;0;70;0;0;1;False
2022-01-09;0;65;0;0;1;False
2022-01-10;0;100;0;0;1;False
2022-01-11;0;74;0;0;1;False
2022-01-12;0;69;0;0;1;False
2022-01-13;0;72;0;0;1;False
2022-01-14;0;66;0;0;1;False
2022-01-15;0;97;0;0;1;False
2022-01-16;0;75;0;0;1;False
2022-01-17;0;71;0;0;1;False
2022-01-18;0;69;0;0;1;False
2022-01-19;0;75;0;0;1;False
2022-01-20;0;68;0;0;1;False
2022-01-21;0;65;0;0;0;False
2022-01-22;0;97;0;0;0;False
2022-01-23;0;73;0;0;1;False
2022-01-24;0;84;0;0;1;False
2022-01-25;0;69;0;0;0;False
2022-01-26;0;72;0;0;1;False
2022-01-27;0;69;0;0;1;False
2022-01-28;0;76;0;0;0;False
2022-01-29;0;79;0;0;1;False
2022-01-30;0;81;0;0;1;False
2022-01-31;0;80;0;0;1;False
