date;Children's rights;Military;Relationships and sex education;children;air travel;isPartial
2023-01-01;0;15;0;61;1;False
2023-01-02;0;14;0;60;2;False
2023-01-03;0;13;0;57;1;False
2023-01-04;0;13;0;59;2;False
2023-01-05;0;15;0;59;1;False
2023-01-06;0;16;0;56;1;False
2023-01-07;0;15;0;60;1;False
2023-01-08;0;15;0;64;2;False
2023-01-09;0;14;0;60;1;False
2023-01-10;0;15;0;63;1;False
2023-01-11;0;13;0;60;2;False
2023-01-12;0;13;0;66;1;False
2023-01-13;0;12;0;89;1;False
2023-01-14;0;14;0;100;1;False
2023-01-15;0;14;0;68;1;False
2023-01-16;0;14;0;64;1;False
2023-01-17;0;19;0;67;1;False
2023-01-18;0;13;0;60;1;False
2023-01-19;0;13;0;62;1;False
2023-01-20;0;14;0;64;1;False
2023-01-21;0;16;0;62;1;False
2023-01-22;0;14;0;71;1;False
2023-01-23;0;14;0;67;1;False
2023-01-24;0;13;0;68;1;False
2023-01-25;0;15;0;65;1;False
2023-01-26;0;14;0;63;1;False
2023-01-27;0;13;0;56;1;False
2023-01-28;0;14;0;54;1;False
2023-01-29;0;15;0;60;1;False
2023-01-30;0;15;0;66;2;False
2023-01-31;0;14;0;65;2;False
